@0000 3C
@0001 4E
@0002 5D
@0003 62
@0004 94
@0005 59
@0006 AF
@0007 86
@0008 BC
@0009 AA
@000A CE
@000B DD
@000C 88
@000D 90
@000E 70
@000F C5
@0010 C9
@0011 F4
@0012 55
@0013 5F
@0014 DF
@0015 89
@0016 D7
@0017 99
@0018 4D
@0019 BF
@001A 0F
@001B DA
@001C BF
@001D 54
@001E 05
@001F 74
@0020 48
@0021 93
@0022 C9
@0023 04
@0024 B4
@0025 A7
@0026 1F
@0027 23
@0028 21
@0029 B8
@002A 57
@002B 92
@002C 4A
@002D 46
@002E 25
@002F 34
@0030 FA
@0031 20
@0032 B5
@0033 63
@0034 20
@0035 03
@0036 42
@0037 3E
@0038 2F
@0039 0F
@003A 47
@003B 66
@003C 45
@003D 6B
@003E 39
@003F 9A
@0040 60
@0041 75
@0042 A2
@0043 5D
@0044 2E
@0045 99
@0046 7D
@0047 57
@0048 DF
@0049 D4
@004A 7A
@004B E0
@004C 19
@004D 57
@004E 9A
@004F 85
@0050 18
@0051 D5
@0052 22
@0053 29
@0054 6F
@0055 8A
@0056 CF
@0057 29
@0058 18
@0059 09
@005A 17
@005B 14
@005C E2
@005D 0A
@005E 8D
@005F 27
@0060 4D
@0061 59
@0062 A5
@0063 EE
@0064 72
@0065 43
@0066 47
@0067 5F
@0068 3E
@0069 22
@006A 5B
@006B FF
@006C BD
@006D E8
@006E E0
@006F F3
@0070 D2
@0071 5E
@0072 AC
@0073 84
@0074 A7
@0075 C1
@0076 91
@0077 31
@0078 55
@0079 C6
@007A C3
@007B C8
@007C DF
@007D 0C
@007E 78
@007F EE
@0080 73
@0081 85
@0082 26
@0083 0A
@0084 1B
@0085 14
@0086 A0
@0087 D9
@0088 E1
@0089 99
@008A 6D
@008B 14
@008C B0
@008D 75
@008E 6B
@008F 72
@0090 4C
@0091 A6
@0092 FE
@0093 BF
@0094 BE
@0095 5A
@0096 72
@0097 2F
@0098 63
@0099 D7
@009A EA
@009B F8
@009C 51
@009D A3
@009E 9A
@009F 64
@00A0 68
@00A1 B2
@00A2 A8
@00A3 95
@00A4 C7
@00A5 F1
@00A6 F2
@00A7 00
@00A8 FD
@00A9 DF
@00AA 44
@00AB 22
@00AC 6B
@00AD 09
@00AE 7B
@00AF A3
@00B0 09
@00B1 D0
@00B2 CB
@00B3 42
@00B4 9A
@00B5 32
@00B6 9E
@00B7 DA
@00B8 5B
@00B9 CB
@00BA 08
@00BB 11
@00BC 9C
@00BD 76
@00BE 80
@00BF 60
@00C0 2E
@00C1 36
@00C2 DC
@00C3 42
@00C4 3A
@00C5 08
@00C6 1C
@00C7 BA
@00C8 43
@00C9 79
@00CA 8C
@00CB 4E
@00CC F0
@00CD E3
@00CE 57
@00CF 98
@00D0 A5
@00D1 B5
@00D2 77
@00D3 F3
@00D4 50
@00D5 02
@00D6 9F
@00D7 1B
@00D8 A4
@00D9 C5
@00DA 36
@00DB BD
@00DC 32
@00DD 79
@00DE 54
@00DF C6
@00E0 1A
@00E1 D8
@00E2 78
@00E3 09
@00E4 9A
@00E5 91
@00E6 16
@00E7 CC
@00E8 7C
@00E9 59
@00EA C3
@00EB 54
@00EC 8E
@00ED DD
@00EE 79
@00EF E2
@00F0 17
@00F1 24
@00F2 57
@00F3 0F
@00F4 B7
@00F5 05
@00F6 18
@00F7 51
@00F8 E1
@00F9 14
@00FA EC
@00FB 08
@00FC 50
@00FD 69
@00FE 08
@00FF 4C
