@0000 4D
@0001 33
@0002 E5
@0003 F5
@0004 7F
@0005 4C
@0006 BE
@0007 F2
@0008 9E
@0009 7A
@000A C2
@000B D3
@000C 7A
@000D 67
@000E 1B
@000F AF
@0010 E5
@0011 3F
@0012 AB
@0013 2E
@0014 87
@0015 9B
@0016 55
@0017 AE
@0018 71
@0019 AD
@001A AA
@001B 28
@001C 7A
@001D 1E
@001E 5C
@001F 1D
@0020 5E
@0021 F4
@0022 97
@0023 6A
@0024 A1
@0025 F8
@0026 D1
@0027 07
@0028 A0
@0029 43
@002A 56
@002B 2B
@002C 06
@002D 0D
@002E 99
@002F 2B
@0030 28
@0031 2D
@0032 9C
@0033 41
@0034 15
@0035 1B
@0036 D3
@0037 5D
@0038 23
@0039 4A
@003A B9
@003B 49
@003C 81
@003D 3E
@003E FC
@003F 38
@0040 5B
@0041 CA
@0042 EB
@0043 79
@0044 D9
@0045 A5
@0046 6F
@0047 02
@0048 DB
@0049 16
@004A A9
@004B B0
@004C 28
@004D 5D
@004E 97
@004F 3E
@0050 D7
@0051 50
@0052 9F
@0053 FD
@0054 4F
@0055 1F
@0056 29
@0057 AD
@0058 32
@0059 CE
@005A 96
@005B 66
@005C 51
@005D 71
@005E 4B
@005F 8A
@0060 68
@0061 11
@0062 9E
@0063 CC
@0064 B0
@0065 C0
@0066 2C
@0067 80
@0068 C2
@0069 C9
@006A 7D
@006B 51
@006C 41
@006D 3D
@006E 05
@006F A9
@0070 A4
@0071 43
@0072 C9
@0073 D8
@0074 97
@0075 12
@0076 33
@0077 44
@0078 41
@0079 B0
@007A A0
@007B 9B
@007C F3
@007D 90
@007E 6D
@007F 13
@0080 DA
@0081 90
@0082 D9
@0083 67
@0084 8B
@0085 13
@0086 28
@0087 FB
@0088 01
@0089 DD
@008A 39
@008B 67
@008C 22
@008D 96
@008E 11
@008F E4
@0090 F1
@0091 19
@0092 D4
@0093 FC
@0094 35
@0095 0A
@0096 2F
@0097 A8
@0098 2A
@0099 DF
@009A DB
@009B 56
@009C DA
@009D BC
@009E 77
@009F 40
@00A0 AE
@00A1 2B
@00A2 37
@00A3 FA
@00A4 1E
@00A5 13
@00A6 13
@00A7 D4
@00A8 3B
@00A9 16
@00AA 95
@00AB 2B
@00AC 45
@00AD 44
@00AE 7E
@00AF 72
@00B0 4E
@00B1 7E
@00B2 14
@00B3 51
@00B4 3C
@00B5 16
@00B6 B8
@00B7 24
@00B8 AC
@00B9 A3
@00BA D3
@00BB EE
@00BC AA
@00BD 54
@00BE 49
@00BF 6D
@00C0 C6
@00C1 FF
@00C2 D2
@00C3 93
@00C4 9E
@00C5 E5
@00C6 A2
@00C7 C3
@00C8 7A
@00C9 39
@00CA CC
@00CB 4F
@00CC DF
@00CD 33
@00CE 60
@00CF 41
@00D0 E4
@00D1 70
@00D2 8F
@00D3 A2
@00D4 99
@00D5 84
@00D6 3C
@00D7 17
@00D8 E7
@00D9 F7
@00DA B2
@00DB 87
@00DC D8
@00DD CB
@00DE 31
@00DF 90
@00E0 35
@00E1 FB
@00E2 31
@00E3 35
@00E4 0C
@00E5 9F
@00E6 52
@00E7 4A
@00E8 B2
@00E9 28
@00EA 8D
@00EB 86
@00EC 0A
@00ED 4B
@00EE D3
@00EF 7F
@00F0 01
@00F1 27
@00F2 90
@00F3 5D
@00F4 13
@00F5 52
@00F6 53
@00F7 F4
@00F8 48
@00F9 8F
@00FA E8
@00FB 1F
@00FC CE
@00FD 73
@00FE 4C
@00FF E9
