@0000 81
@0001 AA
@0002 AD
@0003 E6
@0004 BA
@0005 A6
@0006 5C
@0007 76
@0008 EC
@0009 09
@000A 8F
@000B F8
@000C C2
@000D B8
@000E 14
@000F 03
@0010 28
@0011 DA
@0012 C8
@0013 E7
@0014 8C
@0015 87
@0016 2F
@0017 03
@0018 43
@0019 D3
@001A 22
@001B 79
@001C 9B
@001D 54
@001E BE
@001F 25
@0020 EB
@0021 9A
@0022 A5
@0023 D6
@0024 76
@0025 CE
@0026 90
@0027 52
@0028 AF
@0029 27
@002A 2C
@002B AA
@002C A3
@002D 15
@002E 85
@002F 52
@0030 62
@0031 64
@0032 34
@0033 FF
@0034 44
@0035 33
@0036 57
@0037 44
@0038 8B
@0039 44
@003A BA
@003B BD
@003C A9
@003D C8
@003E 99
@003F 64
@0040 98
@0041 E5
@0042 6F
@0043 A3
@0044 92
@0045 68
@0046 79
@0047 61
@0048 87
@0049 61
@004A 83
@004B 4B
@004C D9
@004D 98
@004E 4B
@004F E3
@0050 8B
@0051 D8
@0052 C6
@0053 F5
@0054 A2
@0055 27
@0056 10
@0057 28
@0058 32
@0059 8B
@005A 53
@005B 57
@005C C7
@005D 5F
@005E F3
@005F 86
@0060 DC
@0061 FE
@0062 78
@0063 4A
@0064 D0
@0065 11
@0066 CD
@0067 2C
@0068 A7
@0069 46
@006A 82
@006B 1C
@006C 07
@006D B0
@006E 4E
@006F 23
@0070 D5
@0071 C5
@0072 FD
@0073 2A
@0074 E0
@0075 23
@0076 15
@0077 E2
@0078 AC
@0079 6C
@007A 0C
@007B 29
@007C 40
@007D EC
@007E 6A
@007F AE
@0080 2B
@0081 66
@0082 D7
@0083 B9
@0084 51
@0085 31
@0086 E8
@0087 F4
@0088 6B
@0089 6F
@008A 88
@008B CF
@008C 20
@008D 20
@008E 4F
@008F 9F
@0090 89
@0091 4B
@0092 FE
@0093 92
@0094 B7
@0095 C8
@0096 BB
@0097 CA
@0098 16
@0099 4A
@009A CA
@009B FD
@009C 3E
@009D 42
@009E 4E
@009F B1
@00A0 91
@00A1 7B
@00A2 B5
@00A3 18
@00A4 6E
@00A5 6B
@00A6 D6
@00A7 38
@00A8 D4
@00A9 06
@00AA C8
@00AB E8
@00AC 84
@00AD C3
@00AE 41
@00AF 08
@00B0 C5
@00B1 7A
@00B2 DC
@00B3 8F
@00B4 E9
@00B5 5B
@00B6 09
@00B7 7E
@00B8 99
@00B9 E3
@00BA 55
@00BB 1D
@00BC 16
@00BD F9
@00BE 11
@00BF F7
@00C0 C3
@00C1 02
@00C2 18
@00C3 D8
@00C4 88
@00C5 7F
@00C6 E5
@00C7 4F
@00C8 07
@00C9 E4
@00CA 60
@00CB EB
@00CC 11
@00CD 71
@00CE 8C
@00CF B9
@00D0 9D
@00D1 28
@00D2 49
@00D3 47
@00D4 44
@00D5 1A
@00D6 F2
@00D7 A3
@00D8 46
@00D9 2F
@00DA 48
@00DB 1C
@00DC F4
@00DD 25
@00DE 0A
@00DF F8
@00E0 57
@00E1 39
@00E2 68
@00E3 6E
@00E4 57
@00E5 80
@00E6 6F
@00E7 7D
@00E8 DD
@00E9 13
@00EA 21
@00EB 45
@00EC 57
@00ED EF
@00EE 45
@00EF 4A
@00F0 90
@00F1 80
@00F2 69
@00F3 A4
@00F4 CF
@00F5 D1
@00F6 2E
@00F7 A0
@00F8 18
@00F9 62
@00FA 9D
@00FB 9C
@00FC 75
@00FD E0
@00FE 82
@00FF 68
