@0000 5A
@0001 CC
@0002 09
@0003 9E
@0004 BF
@0005 0D
@0006 8F
@0007 30
@0008 AA
@0009 B4
@000A 43
@000B 3C
@000C CB
@000D 3C
@000E BE
@000F 62
@0010 36
@0011 0D
@0012 08
@0013 CC
@0014 AE
@0015 9B
@0016 C2
@0017 D8
@0018 E3
@0019 E3
@001A 9E
@001B 7A
@001C EA
@001D AE
@001E A3
@001F 75
@0020 69
@0021 50
@0022 4C
@0023 04
@0024 C9
@0025 69
@0026 99
@0027 FC
@0028 02
@0029 22
@002A 93
@002B 1F
@002C 90
@002D 04
@002E 60
@002F CA
@0030 8A
@0031 A9
@0032 52
@0033 DE
@0034 EE
@0035 33
@0036 12
@0037 4C
@0038 8B
@0039 A2
@003A 15
@003B 2A
@003C 5D
@003D 91
@003E 4E
@003F A9
@0040 19
@0041 B1
@0042 D5
@0043 D2
@0044 4B
@0045 9D
@0046 7B
@0047 8F
@0048 A0
@0049 87
@004A 21
@004B 29
@004C DA
@004D 7F
@004E 38
@004F 1E
@0050 34
@0051 9E
@0052 F6
@0053 62
@0054 C6
@0055 DE
@0056 AC
@0057 07
@0058 7F
@0059 FF
@005A B9
@005B B3
@005C 98
@005D 8D
@005E C5
@005F DE
@0060 6C
@0061 E5
@0062 20
@0063 AC
@0064 12
@0065 6C
@0066 0C
@0067 D7
@0068 FE
@0069 04
@006A 44
@006B C4
@006C 82
@006D 66
@006E A1
@006F 08
@0070 AC
@0071 57
@0072 A4
@0073 E3
@0074 55
@0075 A6
@0076 8A
@0077 8B
@0078 CF
@0079 16
@007A 9B
@007B A8
@007C F8
@007D 1D
@007E 52
@007F 8A
@0080 0E
@0081 10
@0082 D1
@0083 A8
@0084 6E
@0085 EB
@0086 C0
@0087 FD
@0088 B5
@0089 EE
@008A 7A
@008B 14
@008C 83
@008D EF
@008E BB
@008F F9
@0090 7B
@0091 66
@0092 3E
@0093 BE
@0094 F7
@0095 D2
@0096 E5
@0097 B0
@0098 B1
@0099 DD
@009A 80
@009B 40
@009C 69
@009D 8E
@009E 51
@009F AD
@00A0 CA
@00A1 57
@00A2 78
@00A3 49
@00A4 02
@00A5 C4
@00A6 3D
@00A7 B5
@00A8 71
@00A9 59
@00AA 51
@00AB 32
@00AC 8C
@00AD 2B
@00AE B1
@00AF F9
@00B0 A8
@00B1 AB
@00B2 2D
@00B3 25
@00B4 E7
@00B5 BC
@00B6 84
@00B7 E9
@00B8 1A
@00B9 A2
@00BA A5
@00BB 3F
@00BC 59
@00BD E7
@00BE 34
@00BF 04
@00C0 A5
@00C1 A3
@00C2 BA
@00C3 A0
@00C4 A3
@00C5 F2
@00C6 E3
@00C7 8A
@00C8 32
@00C9 A9
@00CA 5E
@00CB 8C
@00CC 0F
@00CD E6
@00CE 45
@00CF 87
@00D0 C6
@00D1 92
@00D2 49
@00D3 B3
@00D4 FF
@00D5 B5
@00D6 39
@00D7 71
@00D8 4D
@00D9 8E
@00DA 91
@00DB 8B
@00DC 96
@00DD F4
@00DE EF
@00DF A9
@00E0 E3
@00E1 02
@00E2 3C
@00E3 DE
@00E4 A7
@00E5 21
@00E6 B5
@00E7 82
@00E8 97
@00E9 E4
@00EA 9A
@00EB FB
@00EC 61
@00ED 13
@00EE C1
@00EF 77
@00F0 58
@00F1 C1
@00F2 91
@00F3 53
@00F4 A4
@00F5 8A
@00F6 25
@00F7 4D
@00F8 13
@00F9 64
@00FA 4B
@00FB FF
@00FC 9A
@00FD 6D
@00FE 7B
@00FF 06
