@0000 1D
@0001 DE
@0002 49
@0003 52
@0004 AA
@0005 E3
@0006 FE
@0007 72
@0008 6B
@0009 81
@000A 75
@000B 4C
@000C 6C
@000D CB
@000E 2D
@000F CA
@0010 0D
@0011 18
@0012 AE
@0013 1B
@0014 90
@0015 F8
@0016 39
@0017 8D
@0018 ED
@0019 05
@001A 33
@001B 91
@001C 4B
@001D BD
@001E DB
@001F 09
@0020 3C
@0021 1A
@0022 86
@0023 B1
@0024 BE
@0025 A6
@0026 22
@0027 B4
@0028 D0
@0029 38
@002A 71
@002B B1
@002C 8B
@002D 1B
@002E 7A
@002F EC
@0030 B5
@0031 82
@0032 DE
@0033 F1
@0034 29
@0035 66
@0036 5E
@0037 BA
@0038 46
@0039 B0
@003A 28
@003B F8
@003C A4
@003D 30
@003E 83
@003F 41
@0040 CD
@0041 06
@0042 B6
@0043 6C
@0044 40
@0045 CA
@0046 02
@0047 22
@0048 F0
@0049 4E
@004A 97
@004B E3
@004C A1
@004D EE
@004E 18
@004F 68
@0050 F9
@0051 9C
@0052 2F
@0053 0A
@0054 52
@0055 6A
@0056 84
@0057 C0
@0058 99
@0059 A9
@005A C2
@005B 9F
@005C 57
@005D 7B
@005E 0E
@005F 1F
@0060 A6
@0061 92
@0062 4E
@0063 2B
@0064 3F
@0065 B6
@0066 13
@0067 95
@0068 03
@0069 96
@006A 0D
@006B 88
@006C 87
@006D 15
@006E D4
@006F 55
@0070 D6
@0071 34
@0072 3C
@0073 83
@0074 A3
@0075 63
@0076 D9
@0077 48
@0078 5D
@0079 5F
@007A D5
@007B 93
@007C 3F
@007D 47
@007E AE
@007F 9C
@0080 81
@0081 7C
@0082 86
@0083 BA
@0084 64
@0085 43
@0086 BF
@0087 74
@0088 90
@0089 97
@008A CA
@008B 6F
@008C 47
@008D 5E
@008E CB
@008F 2D
@0090 15
@0091 67
@0092 5B
@0093 FF
@0094 A7
@0095 73
@0096 4C
@0097 65
@0098 88
@0099 13
@009A 52
@009B E6
@009C 11
@009D 04
@009E 45
@009F 0B
@00A0 4A
@00A1 3A
@00A2 09
@00A3 97
@00A4 54
@00A5 BA
@00A6 C1
@00A7 06
@00A8 5B
@00A9 88
@00AA CF
@00AB 41
@00AC E0
@00AD 58
@00AE D1
@00AF 6E
@00B0 0A
@00B1 DB
@00B2 B8
@00B3 8F
@00B4 A5
@00B5 2D
@00B6 21
@00B7 B9
@00B8 46
@00B9 46
@00BA 01
@00BB 79
@00BC 11
@00BD D6
@00BE E0
@00BF 9F
@00C0 78
@00C1 45
@00C2 21
@00C3 3B
@00C4 BF
@00C5 DC
@00C6 B7
@00C7 89
@00C8 C2
@00C9 FA
@00CA 3E
@00CB 59
@00CC 0F
@00CD FB
@00CE B0
@00CF 56
@00D0 CF
@00D1 DC
@00D2 E2
@00D3 3B
@00D4 CA
@00D5 44
@00D6 50
@00D7 CE
@00D8 0C
@00D9 4F
@00DA E2
@00DB BC
@00DC DB
@00DD 5D
@00DE 20
@00DF 72
@00E0 84
@00E1 E8
@00E2 AC
@00E3 C3
@00E4 14
@00E5 C1
@00E6 E3
@00E7 D7
@00E8 AE
@00E9 4E
@00EA F4
@00EB B4
@00EC 94
@00ED 1E
@00EE D5
@00EF 07
@00F0 2C
@00F1 A4
@00F2 E7
@00F3 FB
@00F4 9A
@00F5 C7
@00F6 AD
@00F7 F1
@00F8 3F
@00F9 34
@00FA 37
@00FB C7
@00FC 06
@00FD BA
@00FE 75
@00FF 39
