@0000 90
@0001 12
@0002 E7
@0003 F0
@0004 75
@0005 6A
@0006 3E
@0007 5E
@0008 26
@0009 81
@000A CF
@000B B5
@000C 71
@000D 8B
@000E A5
@000F 1B
@0010 BF
@0011 00
@0012 80
@0013 4B
@0014 EB
@0015 CC
@0016 6E
@0017 8B
@0018 1E
@0019 AF
@001A 9A
@001B 12
@001C 42
@001D 15
@001E 3B
@001F C9
@0020 FC
@0021 DC
@0022 51
@0023 89
@0024 C9
@0025 12
@0026 77
@0027 57
@0028 5A
@0029 0E
@002A 27
@002B 77
@002C 24
@002D 93
@002E 67
@002F DF
@0030 67
@0031 6F
@0032 62
@0033 18
@0034 F0
@0035 80
@0036 12
@0037 21
@0038 64
@0039 7E
@003A BC
@003B 89
@003C 8F
@003D AA
@003E 65
@003F 35
@0040 E3
@0041 BE
@0042 60
@0043 20
@0044 BD
@0045 64
@0046 66
@0047 97
@0048 F4
@0049 1B
@004A 30
@004B 81
@004C F9
@004D 3C
@004E 37
@004F D5
@0050 F6
@0051 A0
@0052 40
@0053 F0
@0054 61
@0055 CD
@0056 18
@0057 AA
@0058 E6
@0059 82
@005A 54
@005B 91
@005C FF
@005D E4
@005E 39
@005F D9
@0060 F1
@0061 D3
@0062 5E
@0063 6A
@0064 D2
@0065 80
@0066 C7
@0067 7C
@0068 B7
@0069 1F
@006A 4D
@006B BD
@006C C5
@006D CE
@006E CC
@006F 1C
@0070 36
@0071 08
@0072 D8
@0073 81
@0074 8B
@0075 2F
@0076 63
@0077 62
@0078 C8
@0079 7E
@007A A4
@007B 64
@007C EB
@007D B6
@007E 55
@007F 70
@0080 61
@0081 CA
@0082 8B
@0083 EC
@0084 FC
@0085 F9
@0086 33
@0087 45
@0088 36
@0089 AD
@008A A0
@008B 0D
@008C 71
@008D 1A
@008E 65
@008F E6
@0090 FA
@0091 15
@0092 10
@0093 BD
@0094 FD
@0095 65
@0096 4D
@0097 78
@0098 5F
@0099 98
@009A D5
@009B BC
@009C CF
@009D 23
@009E 8B
@009F 13
@00A0 8B
@00A1 4E
@00A2 2F
@00A3 BA
@00A4 B8
@00A5 BF
@00A6 16
@00A7 EC
@00A8 AA
@00A9 F9
@00AA 40
@00AB 70
@00AC 40
@00AD 7C
@00AE 2B
@00AF 07
@00B0 50
@00B1 C4
@00B2 47
@00B3 3D
@00B4 6E
@00B5 A2
@00B6 C0
@00B7 4E
@00B8 C9
@00B9 49
@00BA 0A
@00BB BE
@00BC 66
@00BD 64
@00BE B9
@00BF BE
@00C0 00
@00C1 5C
@00C2 98
@00C3 02
@00C4 A3
@00C5 97
@00C6 76
@00C7 18
@00C8 3E
@00C9 2C
@00CA 1B
@00CB 86
@00CC E7
@00CD 03
@00CE 60
@00CF AC
@00D0 7D
@00D1 08
@00D2 17
@00D3 46
@00D4 D9
@00D5 F0
@00D6 8F
@00D7 19
@00D8 29
@00D9 39
@00DA F5
@00DB 0C
@00DC 5C
@00DD 68
@00DE EC
@00DF F4
@00E0 24
@00E1 53
@00E2 AE
@00E3 E0
@00E4 D5
@00E5 FC
@00E6 D9
@00E7 E8
@00E8 65
@00E9 14
@00EA D6
@00EB 34
@00EC 9B
@00ED 51
@00EE 32
@00EF 54
@00F0 1D
@00F1 AF
@00F2 4D
@00F3 95
@00F4 08
@00F5 BB
@00F6 C0
@00F7 3B
@00F8 29
@00F9 8E
@00FA 56
@00FB 54
@00FC FB
@00FD 40
@00FE 38
@00FF E9
