@0000 68
@0001 62
@0002 2B
@0003 75
@0004 46
@0005 32
@0006 35
@0007 E8
@0008 2E
@0009 34
@000A 0D
@000B AF
@000C 85
@000D 98
@000E D4
@000F 37
@0010 6A
@0011 C5
@0012 FA
@0013 D8
@0014 40
@0015 6C
@0016 4D
@0017 60
@0018 6B
@0019 4A
@001A 80
@001B DD
@001C 4D
@001D 67
@001E 43
@001F E4
@0020 9B
@0021 94
@0022 0E
@0023 60
@0024 1B
@0025 A0
@0026 5C
@0027 E7
@0028 F2
@0029 6D
@002A 19
@002B 81
@002C 4B
@002D 33
@002E 4A
@002F C6
@0030 3F
@0031 86
@0032 36
@0033 EB
@0034 04
@0035 C8
@0036 D7
@0037 60
@0038 B3
@0039 8C
@003A AF
@003B 84
@003C D0
@003D 5E
@003E 96
@003F FC
@0040 12
@0041 5B
@0042 44
@0043 BB
@0044 12
@0045 F5
@0046 9C
@0047 FB
@0048 2F
@0049 3E
@004A 12
@004B 3A
@004C AB
@004D 30
@004E 27
@004F 47
@0050 DE
@0051 D2
@0052 E2
@0053 AC
@0054 46
@0055 D3
@0056 F0
@0057 AE
@0058 12
@0059 DE
@005A 20
@005B CF
@005C 14
@005D F7
@005E 1B
@005F 8A
@0060 84
@0061 F7
@0062 3B
@0063 1C
@0064 69
@0065 26
@0066 D0
@0067 58
@0068 19
@0069 DC
@006A 33
@006B 4E
@006C D3
@006D B7
@006E 6D
@006F 82
@0070 6B
@0071 39
@0072 71
@0073 50
@0074 D2
@0075 B5
@0076 F4
@0077 13
@0078 49
@0079 4D
@007A D3
@007B CA
@007C 37
@007D D1
@007E 21
@007F 8E
@0080 1D
@0081 70
@0082 2E
@0083 B5
@0084 E6
@0085 00
@0086 38
@0087 5D
@0088 0F
@0089 8F
@008A F0
@008B EF
@008C 9A
@008D B7
@008E 2B
@008F FF
@0090 B5
@0091 B7
@0092 78
@0093 2E
@0094 13
@0095 5B
@0096 5C
@0097 37
@0098 1E
@0099 3C
@009A 03
@009B EF
@009C 2F
@009D E1
@009E 01
@009F 8D
@00A0 9C
@00A1 AB
@00A2 5D
@00A3 12
@00A4 C3
@00A5 90
@00A6 B6
@00A7 60
@00A8 B1
@00A9 94
@00AA 3E
@00AB 83
@00AC DB
@00AD 21
@00AE 24
@00AF 05
@00B0 A3
@00B1 EB
@00B2 0F
@00B3 A5
@00B4 8E
@00B5 9E
@00B6 8A
@00B7 A6
@00B8 DF
@00B9 90
@00BA 8C
@00BB B6
@00BC 17
@00BD 9F
@00BE FD
@00BF 99
@00C0 11
@00C1 0D
@00C2 82
@00C3 0B
@00C4 A8
@00C5 24
@00C6 E9
@00C7 C1
@00C8 FC
@00C9 C5
@00CA F6
@00CB CC
@00CC D0
@00CD 72
@00CE 54
@00CF 9E
@00D0 25
@00D1 46
@00D2 92
@00D3 61
@00D4 86
@00D5 DF
@00D6 44
@00D7 97
@00D8 4D
@00D9 33
@00DA DC
@00DB 65
@00DC C6
@00DD 67
@00DE 74
@00DF 28
@00E0 7D
@00E1 F6
@00E2 E7
@00E3 41
@00E4 38
@00E5 3E
@00E6 F0
@00E7 AC
@00E8 B2
@00E9 8A
@00EA A8
@00EB 0F
@00EC FF
@00ED DA
@00EE B6
@00EF 4E
@00F0 D0
@00F1 92
@00F2 B0
@00F3 62
@00F4 8D
@00F5 50
@00F6 AF
@00F7 DC
@00F8 50
@00F9 13
@00FA 92
@00FB F4
@00FC 45
@00FD 61
@00FE 91
@00FF 9B
