@0000 1C
@0001 DD
@0002 F1
@0003 0A
@0004 11
@0005 B6
@0006 E1
@0007 00
@0008 F8
@0009 6C
@000A AF
@000B 67
@000C 98
@000D 9D
@000E 9D
@000F 6E
@0010 6B
@0011 82
@0012 22
@0013 10
@0014 10
@0015 33
@0016 2C
@0017 9C
@0018 36
@0019 D6
@001A 06
@001B 42
@001C EC
@001D 4A
@001E FA
@001F F3
@0020 0E
@0021 8A
@0022 9D
@0023 74
@0024 37
@0025 6C
@0026 77
@0027 5B
@0028 45
@0029 B7
@002A 5F
@002B EB
@002C F4
@002D 74
@002E 09
@002F AA
@0030 36
@0031 AE
@0032 22
@0033 54
@0034 DB
@0035 06
@0036 F4
@0037 FB
@0038 CC
@0039 AF
@003A 1E
@003B 0B
@003C 83
@003D 52
@003E 84
@003F 74
@0040 0A
@0041 01
@0042 AF
@0043 62
@0044 F1
@0045 20
@0046 3B
@0047 ED
@0048 DD
@0049 78
@004A 7D
@004B D2
@004C F4
@004D 0D
@004E DF
@004F 14
@0050 CD
@0051 76
@0052 6F
@0053 F6
@0054 CD
@0055 BE
@0056 9D
@0057 D4
@0058 2E
@0059 F4
@005A 86
@005B 66
@005C 87
@005D 69
@005E FA
@005F 61
@0060 6E
@0061 22
@0062 5E
@0063 91
@0064 2E
@0065 43
@0066 EE
@0067 07
@0068 26
@0069 C4
@006A F3
@006B 26
@006C 3A
@006D 29
@006E 43
@006F 5E
@0070 45
@0071 2B
@0072 90
@0073 8C
@0074 50
@0075 90
@0076 8C
@0077 7B
@0078 99
@0079 CF
@007A 89
@007B 25
@007C 7E
@007D 55
@007E 43
@007F 81
@0080 FB
@0081 91
@0082 D7
@0083 E5
@0084 E8
@0085 70
@0086 87
@0087 3E
@0088 8F
@0089 4E
@008A 37
@008B 88
@008C 9D
@008D 82
@008E 83
@008F B9
@0090 DF
@0091 E6
@0092 4F
@0093 D6
@0094 74
@0095 E6
@0096 8C
@0097 58
@0098 F4
@0099 BD
@009A CA
@009B 3D
@009C C5
@009D 25
@009E CD
@009F DE
@00A0 83
@00A1 5B
@00A2 13
@00A3 35
@00A4 35
@00A5 07
@00A6 7F
@00A7 CE
@00A8 04
@00A9 0B
@00AA F3
@00AB 55
@00AC 97
@00AD 4D
@00AE A4
@00AF E5
@00B0 FD
@00B1 79
@00B2 F1
@00B3 F9
@00B4 E7
@00B5 29
@00B6 E1
@00B7 84
@00B8 49
@00B9 D1
@00BA 31
@00BB D3
@00BC 2E
@00BD 06
@00BE B4
@00BF FC
@00C0 C2
@00C1 97
@00C2 89
@00C3 58
@00C4 5B
@00C5 8C
@00C6 B3
@00C7 F3
@00C8 13
@00C9 00
@00CA 71
@00CB DB
@00CC 86
@00CD F1
@00CE 2E
@00CF 98
@00D0 35
@00D1 33
@00D2 3B
@00D3 15
@00D4 BA
@00D5 60
@00D6 E5
@00D7 F8
@00D8 24
@00D9 8D
@00DA 51
@00DB 6B
@00DC 68
@00DD 2A
@00DE 3D
@00DF A5
@00E0 5A
@00E1 77
@00E2 DE
@00E3 A5
@00E4 2B
@00E5 75
@00E6 07
@00E7 81
@00E8 13
@00E9 AF
@00EA E0
@00EB B8
@00EC B9
@00ED BF
@00EE AB
@00EF F3
@00F0 D8
@00F1 52
@00F2 15
@00F3 3B
@00F4 DF
@00F5 BF
@00F6 3A
@00F7 3D
@00F8 35
@00F9 97
@00FA 5E
@00FB 8C
@00FC 2D
@00FD EF
@00FE CF
@00FF BB
