@0000 9C
@0001 7C
@0002 F6
@0003 BD
@0004 5B
@0005 81
@0006 59
@0007 29
@0008 82
@0009 A1
@000A 6A
@000B 6D
@000C 60
@000D D3
@000E EC
@000F 7A
@0010 A8
@0011 67
@0012 49
@0013 BA
@0014 5C
@0015 C2
@0016 23
@0017 05
@0018 45
@0019 10
@001A FA
@001B 1D
@001C 1B
@001D 60
@001E DA
@001F 47
@0020 A9
@0021 FC
@0022 6F
@0023 16
@0024 F0
@0025 B7
@0026 C5
@0027 34
@0028 D0
@0029 53
@002A D1
@002B A1
@002C DB
@002D 56
@002E 26
@002F 68
@0030 97
@0031 A9
@0032 AB
@0033 F8
@0034 3D
@0035 BF
@0036 F0
@0037 0E
@0038 F0
@0039 80
@003A 7E
@003B 71
@003C B5
@003D 0A
@003E 45
@003F 58
@0040 32
@0041 0F
@0042 6D
@0043 5D
@0044 74
@0045 C8
@0046 E3
@0047 AD
@0048 17
@0049 14
@004A 29
@004B A7
@004C 55
@004D EB
@004E AA
@004F 28
@0050 E3
@0051 74
@0052 6F
@0053 29
@0054 AA
@0055 8A
@0056 91
@0057 AA
@0058 A5
@0059 90
@005A 2B
@005B 2A
@005C 73
@005D 60
@005E 1D
@005F A8
@0060 5B
@0061 54
@0062 07
@0063 E9
@0064 A7
@0065 26
@0066 FB
@0067 C7
@0068 0C
@0069 45
@006A 6A
@006B 0B
@006C BE
@006D D0
@006E FE
@006F F3
@0070 4D
@0071 9B
@0072 F3
@0073 D0
@0074 EA
@0075 BB
@0076 6A
@0077 04
@0078 2A
@0079 1A
@007A F3
@007B B9
@007C 16
@007D BA
@007E 9F
@007F 23
@0080 4A
@0081 F8
@0082 A0
@0083 6B
@0084 9D
@0085 C7
@0086 0D
@0087 AA
@0088 6E
@0089 5B
@008A DD
@008B 85
@008C 7B
@008D F9
@008E 28
@008F 22
@0090 DA
@0091 C1
@0092 54
@0093 0B
@0094 DA
@0095 FD
@0096 5B
@0097 D6
@0098 F2
@0099 9E
@009A 83
@009B EF
@009C 5F
@009D AE
@009E F6
@009F 88
@00A0 40
@00A1 EA
@00A2 CF
@00A3 BD
@00A4 97
@00A5 46
@00A6 82
@00A7 D4
@00A8 28
@00A9 47
@00AA 88
@00AB 79
@00AC DF
@00AD FE
@00AE 80
@00AF 43
@00B0 6B
@00B1 BD
@00B2 76
@00B3 E2
@00B4 BA
@00B5 54
@00B6 DB
@00B7 DA
@00B8 20
@00B9 F2
@00BA B7
@00BB 26
@00BC 30
@00BD 78
@00BE 4D
@00BF 32
@00C0 96
@00C1 DC
@00C2 54
@00C3 BD
@00C4 30
@00C5 4E
@00C6 77
@00C7 C3
@00C8 17
@00C9 7A
@00CA 9A
@00CB 8A
@00CC D2
@00CD FE
@00CE 01
@00CF 62
@00D0 61
@00D1 6F
@00D2 38
@00D3 34
@00D4 3B
@00D5 41
@00D6 B2
@00D7 68
@00D8 8A
@00D9 AC
@00DA FB
@00DB B7
@00DC AC
@00DD 42
@00DE D8
@00DF 56
@00E0 2D
@00E1 59
@00E2 0F
@00E3 2A
@00E4 CC
@00E5 1C
@00E6 37
@00E7 AC
@00E8 E7
@00E9 DB
@00EA C8
@00EB 9B
@00EC 36
@00ED F1
@00EE 08
@00EF 3F
@00F0 42
@00F1 B6
@00F2 8B
@00F3 52
@00F4 6D
@00F5 56
@00F6 FC
@00F7 EC
@00F8 A0
@00F9 BD
@00FA A4
@00FB FC
@00FC 1E
@00FD A3
@00FE EA
@00FF 6E
