@0000 0D
@0001 FF
@0002 2C
@0003 25
@0004 8A
@0005 4C
@0006 94
@0007 7D
@0008 AE
@0009 A8
@000A C1
@000B BF
@000C 87
@000D CA
@000E 01
@000F 79
@0010 F4
@0011 8D
@0012 A4
@0013 82
@0014 A3
@0015 24
@0016 A9
@0017 78
@0018 72
@0019 7C
@001A 50
@001B 97
@001C 6F
@001D CF
@001E 6E
@001F 71
@0020 FC
@0021 EA
@0022 4C
@0023 D6
@0024 9D
@0025 21
@0026 15
@0027 E3
@0028 9C
@0029 1A
@002A 40
@002B 22
@002C 01
@002D E9
@002E 3F
@002F 7C
@0030 4E
@0031 2A
@0032 70
@0033 81
@0034 58
@0035 EF
@0036 FD
@0037 FC
@0038 BC
@0039 A5
@003A 6A
@003B 3A
@003C 09
@003D E1
@003E 8E
@003F 37
@0040 18
@0041 CE
@0042 C4
@0043 37
@0044 D4
@0045 F8
@0046 34
@0047 F9
@0048 EC
@0049 03
@004A 90
@004B 42
@004C 13
@004D C9
@004E B0
@004F 05
@0050 54
@0051 7E
@0052 67
@0053 0B
@0054 7E
@0055 1E
@0056 33
@0057 0B
@0058 D6
@0059 2A
@005A EA
@005B 46
@005C 63
@005D 79
@005E 55
@005F D9
@0060 DF
@0061 50
@0062 AD
@0063 B2
@0064 90
@0065 A8
@0066 6F
@0067 85
@0068 E6
@0069 30
@006A AE
@006B 45
@006C 91
@006D 21
@006E 5A
@006F BA
@0070 7A
@0071 CD
@0072 62
@0073 61
@0074 7E
@0075 F4
@0076 D2
@0077 E0
@0078 65
@0079 47
@007A E2
@007B D8
@007C 9A
@007D AA
@007E 61
@007F 9F
@0080 EF
@0081 6C
@0082 36
@0083 A6
@0084 57
@0085 4A
@0086 9B
@0087 38
@0088 53
@0089 BA
@008A 76
@008B 78
@008C 82
@008D 4A
@008E DF
@008F 11
@0090 80
@0091 31
@0092 81
@0093 24
@0094 3B
@0095 64
@0096 6F
@0097 97
@0098 AF
@0099 22
@009A 44
@009B 20
@009C 89
@009D 6D
@009E D7
@009F 6A
@00A0 62
@00A1 41
@00A2 1F
@00A3 53
@00A4 E7
@00A5 BF
@00A6 B4
@00A7 E3
@00A8 63
@00A9 8E
@00AA 67
@00AB D9
@00AC 4B
@00AD 0F
@00AE EB
@00AF 4C
@00B0 A5
@00B1 17
@00B2 B0
@00B3 66
@00B4 6A
@00B5 A2
@00B6 BF
@00B7 67
@00B8 71
@00B9 B6
@00BA 8A
@00BB 33
@00BC 11
@00BD C1
@00BE 27
@00BF FE
@00C0 80
@00C1 DE
@00C2 1F
@00C3 AD
@00C4 1B
@00C5 C4
@00C6 42
@00C7 B2
@00C8 EC
@00C9 F1
@00CA 6E
@00CB AB
@00CC 42
@00CD 84
@00CE F7
@00CF CD
@00D0 34
@00D1 2C
@00D2 D5
@00D3 55
@00D4 EC
@00D5 2C
@00D6 2C
@00D7 0C
@00D8 DD
@00D9 98
@00DA BE
@00DB 4D
@00DC 3F
@00DD A8
@00DE 20
@00DF 17
@00E0 13
@00E1 11
@00E2 94
@00E3 80
@00E4 D4
@00E5 1B
@00E6 B6
@00E7 BE
@00E8 1E
@00E9 3E
@00EA 9C
@00EB 7A
@00EC 07
@00ED CD
@00EE A0
@00EF F7
@00F0 0E
@00F1 C8
@00F2 BC
@00F3 97
@00F4 32
@00F5 56
@00F6 28
@00F7 7E
@00F8 E8
@00F9 3E
@00FA C4
@00FB 85
@00FC 1B
@00FD DA
@00FE 25
@00FF 15
