@0000 5B
@0001 FD
@0002 B7
@0003 8E
@0004 80
@0005 F9
@0006 28
@0007 E2
@0008 27
@0009 1D
@000A 2C
@000B 7E
@000C 7D
@000D FE
@000E CD
@000F A7
@0010 07
@0011 69
@0012 C1
@0013 04
@0014 60
@0015 A4
@0016 86
@0017 D9
@0018 1C
@0019 A6
@001A E8
@001B 53
@001C 00
@001D 18
@001E 5E
@001F 57
@0020 39
@0021 15
@0022 44
@0023 18
@0024 24
@0025 AB
@0026 03
@0027 C2
@0028 B8
@0029 DE
@002A 62
@002B 96
@002C C4
@002D 34
@002E 05
@002F 4E
@0030 55
@0031 A3
@0032 9E
@0033 F2
@0034 7D
@0035 2A
@0036 78
@0037 0F
@0038 7F
@0039 79
@003A CB
@003B F3
@003C 0B
@003D 72
@003E 56
@003F 0C
@0040 DD
@0041 FC
@0042 E9
@0043 2F
@0044 FD
@0045 7B
@0046 06
@0047 71
@0048 C7
@0049 69
@004A 71
@004B 96
@004C 98
@004D E3
@004E 6E
@004F A3
@0050 AD
@0051 C1
@0052 6E
@0053 20
@0054 A4
@0055 F5
@0056 22
@0057 1E
@0058 B1
@0059 E3
@005A 08
@005B C6
@005C 1A
@005D CD
@005E 6F
@005F 19
@0060 A3
@0061 D5
@0062 B3
@0063 A8
@0064 F3
@0065 BB
@0066 CA
@0067 A5
@0068 23
@0069 78
@006A F8
@006B 17
@006C 2C
@006D 61
@006E 90
@006F 10
@0070 D6
@0071 3D
@0072 DC
@0073 01
@0074 DD
@0075 90
@0076 29
@0077 42
@0078 1E
@0079 CC
@007A 2E
@007B FE
@007C 69
@007D D1
@007E FE
@007F D6
@0080 71
@0081 D6
@0082 EA
@0083 E6
@0084 55
@0085 71
@0086 58
@0087 F9
@0088 31
@0089 B5
@008A 0A
@008B D9
@008C C0
@008D 88
@008E 8B
@008F 96
@0090 DC
@0091 5A
@0092 90
@0093 8F
@0094 E0
@0095 E8
@0096 4C
@0097 CB
@0098 C2
@0099 E7
@009A 85
@009B 8F
@009C 40
@009D 2E
@009E D3
@009F 17
@00A0 08
@00A1 E3
@00A2 F2
@00A3 C5
@00A4 BA
@00A5 80
@00A6 D7
@00A7 1D
@00A8 02
@00A9 8F
@00AA F8
@00AB 32
@00AC DB
@00AD D9
@00AE 72
@00AF 97
@00B0 CE
@00B1 40
@00B2 89
@00B3 AF
@00B4 7F
@00B5 A6
@00B6 51
@00B7 FF
@00B8 A7
@00B9 D4
@00BA A4
@00BB AA
@00BC C3
@00BD ED
@00BE 5D
@00BF 63
@00C0 C5
@00C1 7E
@00C2 83
@00C3 1E
@00C4 14
@00C5 BB
@00C6 21
@00C7 34
@00C8 FB
@00C9 E3
@00CA B8
@00CB 88
@00CC 50
@00CD 28
@00CE A2
@00CF 14
@00D0 D6
@00D1 DA
@00D2 50
@00D3 F2
@00D4 A7
@00D5 4B
@00D6 D6
@00D7 2E
@00D8 71
@00D9 DE
@00DA BF
@00DB CE
@00DC B9
@00DD 73
@00DE D9
@00DF B0
@00E0 69
@00E1 6C
@00E2 21
@00E3 43
@00E4 D0
@00E5 26
@00E6 1C
@00E7 66
@00E8 AF
@00E9 7B
@00EA 1B
@00EB 90
@00EC CE
@00ED 57
@00EE 7F
@00EF 85
@00F0 89
@00F1 A9
@00F2 C5
@00F3 07
@00F4 25
@00F5 99
@00F6 04
@00F7 DC
@00F8 50
@00F9 91
@00FA 0F
@00FB F4
@00FC EF
@00FD A8
@00FE 66
@00FF 00
