@0000 DB
@0001 74
@0002 38
@0003 C2
@0004 9B
@0005 56
@0006 26
@0007 AE
@0008 9C
@0009 E8
@000A EA
@000B 1E
@000C AD
@000D 17
@000E A1
@000F 02
@0010 EE
@0011 D2
@0012 35
@0013 C9
@0014 D8
@0015 4F
@0016 15
@0017 8F
@0018 E4
@0019 39
@001A 66
@001B 23
@001C F1
@001D 80
@001E 29
@001F 7C
@0020 44
@0021 3E
@0022 10
@0023 73
@0024 78
@0025 2F
@0026 F5
@0027 56
@0028 5B
@0029 5A
@002A EF
@002B A3
@002C C6
@002D E0
@002E E2
@002F 09
@0030 ED
@0031 CF
@0032 88
@0033 57
@0034 C0
@0035 C1
@0036 BC
@0037 01
@0038 07
@0039 7A
@003A FA
@003B 5D
@003C E5
@003D 75
@003E 92
@003F 79
@0040 80
@0041 BC
@0042 3E
@0043 70
@0044 CF
@0045 AC
@0046 BC
@0047 71
@0048 AA
@0049 36
@004A 10
@004B 66
@004C F9
@004D F9
@004E 00
@004F 39
@0050 79
@0051 7D
@0052 48
@0053 B9
@0054 BC
@0055 4A
@0056 E3
@0057 D8
@0058 EF
@0059 99
@005A 92
@005B BA
@005C 7C
@005D E6
@005E 4D
@005F 62
@0060 E0
@0061 18
@0062 13
@0063 EC
@0064 94
@0065 A2
@0066 34
@0067 48
@0068 44
@0069 F9
@006A BB
@006B 86
@006C 35
@006D 30
@006E 23
@006F 44
@0070 C4
@0071 AB
@0072 A3
@0073 B5
@0074 78
@0075 14
@0076 4A
@0077 C6
@0078 77
@0079 86
@007A AB
@007B E0
@007C E2
@007D 11
@007E 21
@007F A3
@0080 14
@0081 9F
@0082 FC
@0083 AD
@0084 55
@0085 56
@0086 20
@0087 87
@0088 A9
@0089 46
@008A 0A
@008B 92
@008C 70
@008D 6B
@008E BA
@008F B9
@0090 AE
@0091 70
@0092 09
@0093 EE
@0094 8A
@0095 2D
@0096 8D
@0097 F1
@0098 46
@0099 11
@009A 91
@009B 90
@009C 6E
@009D B6
@009E 9D
@009F 6F
@00A0 D1
@00A1 3F
@00A2 88
@00A3 80
@00A4 8F
@00A5 C1
@00A6 16
@00A7 7E
@00A8 61
@00A9 81
@00AA 93
@00AB 19
@00AC 4C
@00AD E4
@00AE 06
@00AF 2D
@00B0 6F
@00B1 78
@00B2 CD
@00B3 94
@00B4 3F
@00B5 9C
@00B6 6A
@00B7 74
@00B8 42
@00B9 85
@00BA C0
@00BB D5
@00BC 3E
@00BD DD
@00BE AF
@00BF 03
@00C0 39
@00C1 8E
@00C2 69
@00C3 66
@00C4 5E
@00C5 EE
@00C6 CA
@00C7 F9
@00C8 D6
@00C9 FD
@00CA 46
@00CB 3F
@00CC 80
@00CD A0
@00CE 51
@00CF 5D
@00D0 1A
@00D1 92
@00D2 98
@00D3 9D
@00D4 96
@00D5 7C
@00D6 D1
@00D7 FE
@00D8 C7
@00D9 A7
@00DA D6
@00DB 1D
@00DC 17
@00DD 4E
@00DE 96
@00DF 6B
@00E0 B9
@00E1 B7
@00E2 29
@00E3 63
@00E4 0A
@00E5 9C
@00E6 14
@00E7 C1
@00E8 3F
@00E9 5E
@00EA 33
@00EB 96
@00EC 7B
@00ED 78
@00EE CC
@00EF 31
@00F0 A5
@00F1 C3
@00F2 6A
@00F3 C8
@00F4 5F
@00F5 39
@00F6 B3
@00F7 DD
@00F8 46
@00F9 E0
@00FA 0D
@00FB 2B
@00FC 3A
@00FD B0
@00FE F0
@00FF 67
