@0000 2F
@0001 C4
@0002 2A
@0003 85
@0004 61
@0005 EA
@0006 5A
@0007 C9
@0008 52
@0009 02
@000A 57
@000B 85
@000C 84
@000D DD
@000E 60
@000F 57
@0010 30
@0011 AA
@0012 40
@0013 7E
@0014 03
@0015 DE
@0016 8D
@0017 1D
@0018 01
@0019 8B
@001A C4
@001B A5
@001C 94
@001D F7
@001E 00
@001F 54
@0020 9D
@0021 AA
@0022 DB
@0023 D5
@0024 71
@0025 B2
@0026 AC
@0027 DD
@0028 34
@0029 D0
@002A FC
@002B B3
@002C 08
@002D 90
@002E 3E
@002F 6A
@0030 6B
@0031 51
@0032 CE
@0033 FC
@0034 C8
@0035 48
@0036 7D
@0037 2C
@0038 BF
@0039 CC
@003A 11
@003B 21
@003C 8E
@003D 17
@003E F9
@003F 92
@0040 AF
@0041 FE
@0042 5B
@0043 BA
@0044 2B
@0045 75
@0046 1B
@0047 DC
@0048 A5
@0049 BB
@004A D2
@004B E9
@004C B7
@004D 55
@004E AA
@004F B7
@0050 65
@0051 AA
@0052 64
@0053 9E
@0054 42
@0055 FC
@0056 78
@0057 93
@0058 74
@0059 C8
@005A B6
@005B AF
@005C 87
@005D 0E
@005E EB
@005F 5D
@0060 FE
@0061 20
@0062 BA
@0063 0E
@0064 ED
@0065 B0
@0066 C7
@0067 DA
@0068 02
@0069 03
@006A 97
@006B EF
@006C 63
@006D B2
@006E DD
@006F 8E
@0070 49
@0071 B0
@0072 7E
@0073 97
@0074 15
@0075 21
@0076 86
@0077 D5
@0078 91
@0079 28
@007A 4D
@007B 69
@007C 69
@007D 9C
@007E 14
@007F 3C
@0080 31
@0081 CB
@0082 68
@0083 0E
@0084 B7
@0085 17
@0086 37
@0087 8E
@0088 63
@0089 F5
@008A DE
@008B 2B
@008C 58
@008D D8
@008E 0B
@008F 08
@0090 9E
@0091 74
@0092 0D
@0093 50
@0094 F6
@0095 29
@0096 E9
@0097 51
@0098 BD
@0099 E5
@009A 37
@009B FA
@009C 3D
@009D 92
@009E 37
@009F 41
@00A0 7E
@00A1 64
@00A2 65
@00A3 90
@00A4 18
@00A5 3D
@00A6 20
@00A7 B6
@00A8 02
@00A9 04
@00AA 36
@00AB 4A
@00AC 36
@00AD C5
@00AE E4
@00AF 57
@00B0 B0
@00B1 86
@00B2 72
@00B3 7F
@00B4 6D
@00B5 80
@00B6 6A
@00B7 02
@00B8 91
@00B9 7D
@00BA 7E
@00BB 10
@00BC 11
@00BD 72
@00BE 31
@00BF 6D
@00C0 A5
@00C1 12
@00C2 68
@00C3 09
@00C4 FA
@00C5 68
@00C6 FD
@00C7 33
@00C8 B8
@00C9 6D
@00CA 08
@00CB 51
@00CC AE
@00CD A5
@00CE B0
@00CF F5
@00D0 91
@00D1 45
@00D2 A0
@00D3 E1
@00D4 BE
@00D5 F0
@00D6 00
@00D7 7A
@00D8 DB
@00D9 7B
@00DA F6
@00DB 0C
@00DC 69
@00DD 52
@00DE 5D
@00DF 63
@00E0 B7
@00E1 CF
@00E2 92
@00E3 92
@00E4 C2
@00E5 A5
@00E6 7C
@00E7 0F
@00E8 49
@00E9 E1
@00EA C4
@00EB 26
@00EC C7
@00ED B4
@00EE E5
@00EF 27
@00F0 93
@00F1 3D
@00F2 DC
@00F3 68
@00F4 73
@00F5 A7
@00F6 2B
@00F7 AC
@00F8 B4
@00F9 BF
@00FA BD
@00FB 13
@00FC 1F
@00FD D4
@00FE F3
@00FF 6D
