@0000 3F
@0001 25
@0002 C2
@0003 A8
@0004 9F
@0005 59
@0006 AE
@0007 DD
@0008 92
@0009 8F
@000A 03
@000B 99
@000C 87
@000D 52
@000E AD
@000F 10
@0010 6C
@0011 97
@0012 B3
@0013 FC
@0014 FB
@0015 28
@0016 7A
@0017 18
@0018 85
@0019 3A
@001A 1D
@001B 56
@001C 27
@001D 98
@001E CA
@001F 94
@0020 EF
@0021 3C
@0022 09
@0023 34
@0024 34
@0025 10
@0026 B7
@0027 44
@0028 42
@0029 40
@002A CB
@002B AB
@002C F5
@002D 69
@002E 03
@002F C6
@0030 CC
@0031 DC
@0032 A0
@0033 7A
@0034 92
@0035 AF
@0036 F0
@0037 8B
@0038 7F
@0039 62
@003A 2B
@003B 91
@003C 39
@003D 05
@003E 46
@003F 87
@0040 1C
@0041 23
@0042 07
@0043 03
@0044 C1
@0045 F8
@0046 66
@0047 34
@0048 30
@0049 98
@004A 96
@004B 39
@004C 1B
@004D 0A
@004E 58
@004F 99
@0050 7A
@0051 67
@0052 CB
@0053 4A
@0054 78
@0055 E4
@0056 1E
@0057 F7
@0058 24
@0059 ED
@005A B0
@005B 80
@005C 2A
@005D CC
@005E 9F
@005F 57
@0060 23
@0061 46
@0062 BA
@0063 C3
@0064 C5
@0065 71
@0066 E0
@0067 5C
@0068 7D
@0069 1A
@006A FB
@006B 5F
@006C 99
@006D D1
@006E C3
@006F FE
@0070 6D
@0071 D1
@0072 00
@0073 70
@0074 82
@0075 13
@0076 58
@0077 6A
@0078 DF
@0079 DE
@007A 2B
@007B 10
@007C C1
@007D EF
@007E 77
@007F 82
@0080 78
@0081 5B
@0082 27
@0083 C7
@0084 A8
@0085 04
@0086 64
@0087 0A
@0088 DC
@0089 94
@008A 12
@008B C3
@008C 9C
@008D 5B
@008E 8F
@008F 2F
@0090 00
@0091 58
@0092 D5
@0093 5E
@0094 2F
@0095 FB
@0096 0F
@0097 2E
@0098 1D
@0099 45
@009A A5
@009B CB
@009C 07
@009D E2
@009E B4
@009F 7B
@00A0 C3
@00A1 FD
@00A2 84
@00A3 F2
@00A4 D4
@00A5 53
@00A6 B8
@00A7 89
@00A8 85
@00A9 4B
@00AA AD
@00AB A6
@00AC BC
@00AD 5A
@00AE 7F
@00AF 34
@00B0 39
@00B1 B5
@00B2 37
@00B3 2A
@00B4 BB
@00B5 DE
@00B6 F4
@00B7 6C
@00B8 F7
@00B9 EE
@00BA ED
@00BB ED
@00BC 01
@00BD 48
@00BE 79
@00BF 85
@00C0 04
@00C1 F1
@00C2 5D
@00C3 7B
@00C4 32
@00C5 2C
@00C6 E7
@00C7 87
@00C8 E5
@00C9 DB
@00CA 81
@00CB B0
@00CC ED
@00CD F4
@00CE ED
@00CF 57
@00D0 9E
@00D1 63
@00D2 84
@00D3 CF
@00D4 41
@00D5 D9
@00D6 17
@00D7 D7
@00D8 4F
@00D9 40
@00DA 1F
@00DB 3B
@00DC 39
@00DD 73
@00DE D5
@00DF C5
@00E0 26
@00E1 27
@00E2 79
@00E3 F8
@00E4 6F
@00E5 FE
@00E6 43
@00E7 95
@00E8 60
@00E9 38
@00EA CF
@00EB AA
@00EC 96
@00ED 2F
@00EE AD
@00EF 1E
@00F0 7A
@00F1 C3
@00F2 18
@00F3 32
@00F4 86
@00F5 2D
@00F6 C5
@00F7 17
@00F8 64
@00F9 9B
@00FA 57
@00FB C8
@00FC 73
@00FD 9F
@00FE F6
@00FF 40
