@0000 3F
@0001 54
@0002 48
@0003 00
@0004 88
@0005 9E
@0006 BC
@0007 E8
@0008 D6
@0009 AC
@000A 06
@000B ED
@000C 9E
@000D 78
@000E 08
@000F 79
@0010 78
@0011 9E
@0012 96
@0013 1A
@0014 76
@0015 30
@0016 2F
@0017 F0
@0018 BB
@0019 5E
@001A 2E
@001B 8A
@001C 0A
@001D 54
@001E CD
@001F F6
@0020 AF
@0021 82
@0022 C8
@0023 5C
@0024 F5
@0025 1F
@0026 A0
@0027 64
@0028 88
@0029 7C
@002A 20
@002B 93
@002C 3D
@002D A5
@002E 49
@002F 41
@0030 70
@0031 B0
@0032 50
@0033 FD
@0034 D8
@0035 1F
@0036 7A
@0037 66
@0038 C8
@0039 D2
@003A A8
@003B 76
@003C 8E
@003D EF
@003E E8
@003F 18
@0040 06
@0041 C3
@0042 79
@0043 42
@0044 27
@0045 16
@0046 A2
@0047 92
@0048 74
@0049 13
@004A 9E
@004B 2C
@004C 5E
@004D 16
@004E 72
@004F 09
@0050 0B
@0051 D5
@0052 A8
@0053 04
@0054 A8
@0055 87
@0056 27
@0057 A1
@0058 C8
@0059 CE
@005A AF
@005B 11
@005C 51
@005D 3A
@005E A9
@005F 9D
@0060 98
@0061 D8
@0062 B0
@0063 A9
@0064 59
@0065 FF
@0066 41
@0067 09
@0068 19
@0069 39
@006A DE
@006B E7
@006C F8
@006D AA
@006E 15
@006F 48
@0070 A0
@0071 65
@0072 80
@0073 F5
@0074 3D
@0075 4F
@0076 06
@0077 67
@0078 DA
@0079 B3
@007A 6D
@007B 4E
@007C 24
@007D 91
@007E BD
@007F 6B
@0080 4A
@0081 75
@0082 33
@0083 CA
@0084 8C
@0085 AC
@0086 1E
@0087 28
@0088 5F
@0089 5C
@008A BC
@008B 5A
@008C C1
@008D 14
@008E B1
@008F 19
@0090 34
@0091 D2
@0092 B2
@0093 87
@0094 E1
@0095 67
@0096 AD
@0097 3B
@0098 18
@0099 FD
@009A CE
@009B F0
@009C FF
@009D 8A
@009E 94
@009F 26
@00A0 AA
@00A1 AF
@00A2 0B
@00A3 82
@00A4 DD
@00A5 5D
@00A6 FD
@00A7 CE
@00A8 05
@00A9 ED
@00AA F2
@00AB 61
@00AC 89
@00AD 65
@00AE 91
@00AF F3
@00B0 90
@00B1 77
@00B2 16
@00B3 72
@00B4 64
@00B5 26
@00B6 D3
@00B7 A8
@00B8 BE
@00B9 A5
@00BA 54
@00BB 8A
@00BC AF
@00BD DB
@00BE 9F
@00BF 46
@00C0 58
@00C1 78
@00C2 65
@00C3 B8
@00C4 3D
@00C5 0C
@00C6 8E
@00C7 92
@00C8 33
@00C9 D7
@00CA 90
@00CB 05
@00CC 21
@00CD 73
@00CE 11
@00CF DC
@00D0 A9
@00D1 E2
@00D2 CC
@00D3 37
@00D4 47
@00D5 73
@00D6 CA
@00D7 E3
@00D8 E0
@00D9 B1
@00DA 1C
@00DB B6
@00DC 48
@00DD 39
@00DE 2E
@00DF 3C
@00E0 6C
@00E1 89
@00E2 A0
@00E3 8D
@00E4 D0
@00E5 58
@00E6 C8
@00E7 07
@00E8 DF
@00E9 F4
@00EA 30
@00EB 14
@00EC 36
@00ED 33
@00EE 0F
@00EF CB
@00F0 CF
@00F1 01
@00F2 13
@00F3 98
@00F4 0A
@00F5 91
@00F6 10
@00F7 93
@00F8 52
@00F9 F3
@00FA 8D
@00FB 57
@00FC 2C
@00FD AF
@00FE A6
@00FF D0
